target_death_rate;pct_public_coverage;poverty_percent;median_age;median_age_cat
179,8;28,8;15,0;39,1;38-41 yrs
217,7;45,6;24,6;39,6;38-41 yrs
195,2;48,0;27,5;45,0;44-57 yrs
205,2;27,3;10,7;41,0;38-41 yrs
173,1;41,2;15,8;32,2;23-38 yrs
200,3;47,0;23,6;40,8;38-41 yrs
149,0;30,5;7,9;45,4;44-57 yrs
144,6;46,6;23,3;56,5;44-57 yrs
180,1;42,8;28,8;37,9;23-38 yrs
173,3;39,5;9,5;42,8;41-44 yrs
167,9;39,8;16,2;41,4;41-44 yrs
183,6;38,5;22,6;36,1;23-38 yrs
147,6;40,9;18,1;41,1;38-41 yrs
188,6;32,7;11,7;39,7;38-41 yrs
182,9;36,5;15,9;43,5;41-44 yrs
137,6;13,5;3,2;37,7;23-38 yrs
194,9;32,1;9,7;41,9;41-44 yrs
184,4;38,8;19,1;36,6;23-38 yrs
180,9;25,2;8,8;40,5;38-41 yrs
211,4;37,2;23,5;37,0;23-38 yrs
161,2;29,5;10,3;33,0;23-38 yrs
182,6;29,4;13,2;42,1;41-44 yrs
185,4;40,6;16,8;41,0;38-41 yrs
219,5;37,9;27,6;38,2;38-41 yrs
160,0;39,2;22,6;40,4;38-41 yrs
156,6;48,0;15,6;51,3;44-57 yrs
174,8;41,3;29,1;37,1;23-38 yrs
164,7;44,3;22,2;57,1;44-57 yrs
222,5;39,6;16,4;42,2;41-44 yrs
166,2;20,6;19,5;30,1;23-38 yrs
210,5;35,7;17,0;36,4;23-38 yrs
189,2;33,4;13,1;39,5;38-41 yrs
161,2;44,6;25,4;42,6;41-44 yrs
160,3;27,4;11,8;38,4;38-41 yrs
190,5;48,1;22,3;49,3;44-57 yrs
183,3;33,9;26,4;31,3;23-38 yrs
209,3;31,7;15,1;40,0;38-41 yrs
208,5;42,2;21,3;43,0;41-44 yrs
128,0;42,4;17,0;45,6;44-57 yrs
160,2;28,3;9,5;41,3;41-44 yrs
211,0;37,0;13,2;38,9;38-41 yrs
140,8;24,0;6,9;43,3;41-44 yrs
185,3;37,8;17,8;42,3;41-44 yrs
179,0;30,3;11,8;41,5;41-44 yrs
179,9;33,2;9,6;44,3;44-57 yrs
187,2;38,1;14,8;50,5;44-57 yrs
182,2;35,8;23,9;37,8;23-38 yrs
188,8;31,8;13,5;39,7;38-41 yrs
213,6;25,1;13,9;26,2;23-38 yrs
164,1;31,5;22,8;28,0;23-38 yrs
167,3;45,3;38,8;32,3;23-38 yrs
205,3;39,1;19,2;42,3;41-44 yrs
171,3;51,6;19,6;48,8;44-57 yrs
149,4;34,1;19,5;46,5;44-57 yrs
191,1;43,7;23,4;40,8;38-41 yrs
202,4;49,0;22,4;47,4;44-57 yrs
168,8;28,6;17,9;34,3;23-38 yrs
167,4;24,3;7,0;41,4;41-44 yrs
146,7;39,8;14,1;46,7;44-57 yrs
175,3;35,0;10,1;46,1;44-57 yrs
171,6;31,9;15,0;38,8;38-41 yrs
197,9;42,0;24,1;37,8;23-38 yrs
157,8;34,9;17,5;42,1;41-44 yrs
177,9;30,0;12,4;30,7;23-38 yrs
173,9;42,2;17,7;41,2;41-44 yrs
181,1;41,8;13,9;47,9;44-57 yrs
205,8;34,7;16,3;38,2;38-41 yrs
177,1;30,7;18,6;36,5;23-38 yrs
189,1;39,3;15,0;43,3;41-44 yrs
181,2;40,1;20,4;42,8;41-44 yrs
171,4;33,4;12,0;43,8;41-44 yrs
180,3;30,2;17,2;36,5;23-38 yrs
175,7;21,8;8,0;36,2;23-38 yrs
150,2;24,5;9,5;40,4;38-41 yrs
224,7;42,1;18,2;42,6;41-44 yrs
172,2;36,8;13,1;43,4;41-44 yrs
166,9;29,6;8,9;41,3;41-44 yrs
214,9;38,8;15,8;45,1;44-57 yrs
180,2;32,0;17,4;35,9;23-38 yrs
201,4;35,0;10,6;47,4;44-57 yrs
219,5;45,0;26,0;42,0;41-44 yrs
159,5;37,8;14,3;42,9;41-44 yrs
189,0;44,5;23,2;44,5;44-57 yrs
168,7;38,6;13,5;44,1;41-44 yrs
194,7;39,7;20,0;44,3;44-57 yrs
183,8;45,6;20,0;42,5;41-44 yrs
163,7;28,2;17,7;30,6;23-38 yrs
200,6;40,5;21,8;37,7;23-38 yrs
126,8;41,5;22,6;33,8;23-38 yrs
180,0;31,6;13,3;41,8;41-44 yrs
161,2;28,2;13,7;37,5;23-38 yrs
185,4;47,2;22,8;46,1;44-57 yrs
210,8;39,4;21,7;39,0;38-41 yrs
198,2;38,3;23,1;38,8;38-41 yrs
185,6;30,9;13,7;38,9;38-41 yrs
151,6;35,8;24,9;35,3;23-38 yrs
193,6;30,4;23,4;30,0;23-38 yrs
229,0;56,4;32,1;43,4;41-44 yrs
203,2;33,6;16,6;42,0;41-44 yrs
162,4;21,5;8,5;31,1;23-38 yrs
162,7;42,2;21,3;46,2;44-57 yrs
127,0;47,8;36,3;39,2;38-41 yrs
155,5;42,5;24,1;40,1;38-41 yrs
221,7;40,5;22,5;38,0;23-38 yrs
192,2;40,1;14,4;47,0;44-57 yrs
136,2;32,3;10,4;47,4;44-57 yrs
166,5;29,5;11,6;48,0;44-57 yrs
169,3;42,4;20,9;46,6;44-57 yrs
143,3;24,9;9,0;38,1;38-41 yrs
162,0;23,8;8,0;39,0;38-41 yrs
183,1;38,1;13,3;40,7;38-41 yrs
181,8;42,3;17,6;43,1;41-44 yrs
124,8;45,6;16,1;52,0;44-57 yrs
191,8;37,6;13,0;45,0;44-57 yrs
175,3;46,1;27,7;44,8;44-57 yrs
158,9;34,3;13,9;37,3;23-38 yrs
200,1;44,7;21,6;43,4;41-44 yrs
181,6;31,2;19,7;32,9;23-38 yrs
174,6;38,5;16,7;40,8;38-41 yrs
200,3;42,7;23,9;42,2;41-44 yrs
177,3;33,9;10,7;42,6;41-44 yrs
209,9;34,2;14,8;43,6;41-44 yrs
169,9;30,7;11,9;38,5;38-41 yrs
181,5;35,9;15,8;37,6;23-38 yrs
186,3;33,3;14,6;40,5;38-41 yrs
134,7;31,4;9,7;48,5;44-57 yrs
153,2;27,9;12,3;40,6;38-41 yrs
163,8;29,0;21,6;34,4;23-38 yrs
174,7;37,8;25,1;42,9;41-44 yrs
148,6;36,4;11,6;38,0;23-38 yrs
176,1;50,6;14,4;46,1;44-57 yrs
176,1;35,1;10,3;44,0;41-44 yrs
204,6;37,7;18,0;41,8;41-44 yrs
194,0;43,2;24,9;41,1;38-41 yrs
221,3;44,9;22,6;41,0;38-41 yrs
172,5;40,1;19,1;41,1;38-41 yrs
155,8;33,4;20,6;33,8;23-38 yrs
180,0;46,4;17,7;38,6;38-41 yrs
170,1;44,8;13,0;50,5;44-57 yrs
175,2;24,3;7,2;40,6;38-41 yrs
169,2;24,3;12,6;33,2;23-38 yrs
214,3;35,3;28,8;34,6;23-38 yrs
174,6;42,2;11,6;49,6;44-57 yrs
177,3;31,1;7,8;39,5;38-41 yrs
165,2;23,3;6,0;35,6;23-38 yrs
176,7;37,7;14,5;44,7;44-57 yrs
199,1;42,4;27,6;40,3;38-41 yrs
179,0;33,9;21,0;44,9;44-57 yrs
154,6;43,5;18,7;40,0;38-41 yrs
168,6;27,6;13,3;38,0;23-38 yrs
171,9;41,8;12,8;51,1;44-57 yrs
155,5;38,5;18,7;38,0;23-38 yrs
204,2;32,7;15,3;41,5;41-44 yrs
224,6;55,5;34,9;39,2;38-41 yrs
188,8;30,4;25,5;32,1;23-38 yrs
177,2;30,5;12,3;37,5;23-38 yrs
169,4;35,1;10,9;48,5;44-57 yrs
220,6;16,1;18,8;23,3;23-38 yrs
190,7;45,2;19,3;46,6;44-57 yrs
179,0;26,6;11,6;39,6;38-41 yrs
161,4;44,4;18,1;49,0;44-57 yrs
161,9;40,1;11,7;49,0;44-57 yrs
180,1;43,9;19,3;42,1;41-44 yrs
137,4;28,7;15,5;32,4;23-38 yrs
157,6;36,0;9,2;42,3;41-44 yrs
181,8;48,6;21,5;46,6;44-57 yrs
177,0;50,4;14,8;52,6;44-57 yrs
129,4;32,0;11,2;45,2;44-57 yrs
187,5;39,4;18,0;41,3;41-44 yrs
183,7;44,3;25,9;37,7;23-38 yrs
177,9;44,1;21,9;42,5;41-44 yrs
195,0;40,7;30,7;39,4;38-41 yrs
187,2;37,1;19,3;37,0;23-38 yrs
186,0;40,1;15,9;41,3;41-44 yrs
186,7;33,2;19,5;37,4;23-38 yrs
174,0;41,9;20,0;32,0;23-38 yrs
163,0;36,2;16,9;42,5;41-44 yrs
172,8;39,4;20,2;43,3;41-44 yrs
162,7;33,9;13,9;41,1;38-41 yrs
191,7;35,2;11,3;44,5;44-57 yrs
162,9;19,2;6,8;37,4;23-38 yrs
190,0;34,9;21,9;33,5;23-38 yrs
212,3;46,4;32,9;40,7;38-41 yrs
181,8;55,1;30,6;39,0;38-41 yrs
130,6;32,0;10,0;48,8;44-57 yrs
171,7;44,1;13,6;50,8;44-57 yrs
160,3;34,7;11,1;48,4;44-57 yrs
150,9;50,6;26,0;39,7;38-41 yrs
185,8;27,6;14,6;37,9;23-38 yrs
166,9;45,2;27,7;41,5;41-44 yrs
152,3;20,9;5,5;39,5;38-41 yrs
147,3;35,5;16,1;53,6;44-57 yrs
161,5;37,2;10,7;40,6;38-41 yrs
208,6;37,6;19,3;40,7;38-41 yrs
136,4;27,8;9,6;40,8;38-41 yrs
146,8;36,4;13,9;46,3;44-57 yrs
189,4;33,1;13,5;43,9;41-44 yrs
145,7;34,5;11,0;52,5;44-57 yrs
177,8;35,1;11,8;50,9;44-57 yrs
211,1;38,7;22,0;42,2;41-44 yrs
155,7;29,3;12,8;38,7;38-41 yrs
189,7;27,5;8,7;42,1;41-44 yrs
162,2;29,9;12,8;38,6;38-41 yrs
183,7;43,8;21,4;43,3;41-44 yrs
147,8;30,5;9,7;44,6;44-57 yrs
138,8;28,2;9,4;44,1;41-44 yrs
175,4;24,9;11,0;35,7;23-38 yrs
192,3;47,7;20,9;50,1;44-57 yrs
206,1;41,2;9,1;47,1;44-57 yrs
177,7;40,6;14,7;45,9;44-57 yrs
193,8;31,3;14,4;37,9;23-38 yrs
213,4;43,2;17,0;42,3;41-44 yrs
186,7;35,0;15,3;37,2;23-38 yrs
191,3;40,6;19,3;40,4;38-41 yrs
197,0;43,5;21,0;42,4;41-44 yrs
204,0;51,8;23,1;44,2;41-44 yrs
156,0;44,9;12,2;48,0;44-57 yrs
169,4;43,0;16,2;51,3;44-57 yrs
173,6;30,5;14,7;37,9;23-38 yrs
153,9;38,3;20,3;42,1;41-44 yrs
202,5;29,0;10,0;42,8;41-44 yrs
155,1;28,2;15,4;36,2;23-38 yrs
169,1;37,0;18,4;39,3;38-41 yrs
195,2;46,4;16,9;47,5;44-57 yrs
214,8;43,3;32,1;37,5;23-38 yrs
170,7;40,2;19,9;39,0;38-41 yrs
225,1;40,0;18,9;47,1;44-57 yrs
202,5;39,8;17,6;39,3;38-41 yrs
135,8;35,7;17,1;45,5;44-57 yrs
143,8;27,9;9,7;41,1;38-41 yrs
197,1;28,2;13,5;37,5;23-38 yrs
176,6;31,5;9,9;42,3;41-44 yrs
162,8;42,4;38,5;38,2;38-41 yrs
181,7;45,7;33,9;34,6;23-38 yrs
185,1;39,3;19,4;40,9;38-41 yrs
164,9;44,5;32,5;38,4;38-41 yrs
