target_death_rate;pct_public_coverage;poverty_percent;median_age
179,8;28,8;15;39,1
217,7;45,6;24,6;39,6
195,2;48;27,5;45
205,2;27,3;10,7;41
173,1;41,2;15,8;32,2
200,3;47;23,6;40,8
149;30,5;7,9;45,4
144,6;46,6;23,3;56,5
180,1;42,8;28,8;37,9
173,3;39,5;9,5;42,8
167,9;39,8;16,2;41,4
183,6;38,5;22,6;36,1
147,6;40,9;18,1;41,1
188,6;32,7;11,7;39,7
182,9;36,5;15,9;43,5
137,6;13,5;3,2;37,7
194,9;32,1;9,7;41,9
184,4;38,8;19,1;36,6
180,9;25,2;8,8;40,5
211,4;37,2;23,5;37
161,2;29,5;10,3;33
182,6;29,4;13,2;42,1
185,4;40,6;16,8;41
219,5;37,9;27,6;38,2
160;39,2;22,6;40,4
156,6;48;15,6;51,3
174,8;41,3;29,1;37,1
164,7;44,3;22,2;57,1
222,5;39,6;16,4;42,2
166,2;20,6;19,5;30,1
210,5;35,7;17;36,4
189,2;33,4;13,1;39,5
161,2;44,6;25,4;42,6
160,3;27,4;11,8;38,4
190,5;48,1;22,3;49,3
183,3;33,9;26,4;31,3
209,3;31,7;15,1;40
208,5;42,2;21,3;43
128;42,4;17;45,6
160,2;28,3;9,5;41,3
211;37;13,2;38,9
140,8;24;6,9;43,3
185,3;37,8;17,8;42,3
179;30,3;11,8;41,5
179,9;33,2;9,6;44,3
187,2;38,1;14,8;50,5
182,2;35,8;23,9;37,8
188,8;31,8;13,5;39,7
213,6;25,1;13,9;26,2
164,1;31,5;22,8;28
167,3;45,3;38,8;32,3
205,3;39,1;19,2;42,3
171,3;51,6;19,6;48,8
149,4;34,1;19,5;46,5
191,1;43,7;23,4;40,8
202,4;49;22,4;47,4
168,8;28,6;17,9;34,3
167,4;24,3;7;41,4
146,7;39,8;14,1;46,7
175,3;35;10,1;46,1
171,6;31,9;15;38,8
197,9;42;24,1;37,8
157,8;34,9;17,5;42,1
177,9;30;12,4;30,7
173,9;42,2;17,7;41,2
181,1;41,8;13,9;47,9
205,8;34,7;16,3;38,2
177,1;30,7;18,6;36,5
189,1;39,3;15;43,3
181,2;40,1;20,4;42,8
171,4;33,4;12;43,8
180,3;30,2;17,2;36,5
175,7;21,8;8;36,2
150,2;24,5;9,5;40,4
224,7;42,1;18,2;42,6
172,2;36,8;13,1;43,4
166,9;29,6;8,9;41,3
214,9;38,8;15,8;45,1
180,2;32;17,4;35,9
201,4;35;10,6;47,4
219,5;45;26;42
159,5;37,8;14,3;42,9
189;44,5;23,2;44,5
168,7;38,6;13,5;44,1
194,7;39,7;20;44,3
183,8;45,6;20;42,5
163,7;28,2;17,7;30,6
200,6;40,5;21,8;37,7
