enterobacterias;tratamiento;dias_almacenamiento;histamina;tiramina;putrescina;cadaverrina
4,51;Trat. 1;0;0;76;56,82;0,64
5,54;Trat. 1;4;0;76;50,29;0,42
6,06;Trat. 1;8;0;80,06;50,74;5,99
6,25;Trat. 1;12;0;76;64,23;22,78
4,23;Trat. 2;0;0;76;56,82;0,64
5,14;Trat. 2;4;0;78,07;52,98;0,4
5,79;Trat. 2;8;0;78,58;57,04;12,4
5,61;Trat. 2;12;0;79,54;56,6;3,71
4,64;Trat. 3;0;0;76;56,82;0,64
5,47;Trat. 3;4;0;76;50,4;0,82
5,49;Trat. 3;8;0;76;54,11;8,2
6,27;Trat. 3;12;0;76;61,04;24,94
4,2;Trat. 4;0;0;76;56,82;0,64
5,15;Trat. 4;4;0;76,69;51,22;0,54
5,65;Trat. 4;8;0;76;55,2;12,44
5,7;Trat. 4;12;0;77,89;60,78;21,81
5,11;Trat. 5;0;0;76;56,82;0,64
7,35;Trat. 5;4;0;78,62;56,53;15,95
5,46;Trat. 5;8;0;76;56,4;6,24
5,46;Trat. 5;12;0;78,14;60,4;18,42
3;Trat. 1;0;0;76;76,78;3,9
5,1;Trat. 1;4;0;83,54;68,39;25,52
5,11;Trat. 1;8;0;78,08;62,78;11,42
4,95;Trat. 1;12;89,54;76;67,49;21,65
3;Trat. 2;0;0;76;76,78;4,59
4,14;Trat. 2;4;0;79,33;50,79;3,09
4,6;Trat. 2;8;0;77,9;64,07;9,02
4,3;Trat. 2;12;89,54;77,96;67,56;21,65
3;Trat. 3;0;0;76;76,78;21,65
4,61;Trat. 3;4;0;77,82;60,43;14
5,17;Trat. 3;8;0;76;55,05;35,91
4;Trat. 3;12;89,54;76;70,57;22,96
2,5;Trat. 4;0;0;76;76,78;6,94
3,3;Trat. 4;4;0;90,27;61,33;18,11
3,5;Trat. 4;8;113,02;81,95;62,01;4,88
4,39;Trat. 4;12;89,54;77,79;63,7;21,65
3;Trat. 5;0;0;76;76,78;1,91
6,71;Trat. 5;4;6,76;78,39;57,16;12,14
5,68;Trat. 5;8;84,08;76;65,68;12,74
5,52;Trat. 5;12;89,54;109,93;68,01;21,65
3,47;Trat. 1;0;0;82,64;56,61;1,97
4;Trat. 1;4;0;78,63;55,15;9,5
4;Trat. 1;8;0;80,5;55,78;9,5
4;Trat. 1;12;0;78;54,82;11,5
3,38;Trat. 2;0;0;82,64;56,61;1,97
4;Trat. 2;4;31,51;78;48,43;12,84
4;Trat. 2;8;4,61;82,37;53,9;11,19
4;Trat. 2;12;0;77,5;65,87;6,68
3,45;Trat. 3;0;0;82,64;56,61;1,97
4;Trat. 3;4;0;78;54,08;6,29
4,95;Trat. 3;8;3;83,55;49,25;11,83
4,47;Trat. 3;12;0;78,59;65,16;5,2
3;Trat. 4;0;0;82,64;56,61;1,97
3;Trat. 4;4;0;79,38;57,19;5,9
4,86;Trat. 4;8;0;79,87;56,05;3,55
5,04;Trat. 4;12;0;78;57,87;3,24
3,6;Trat. 5;0;0;82,64;56,61;1,97
4;Trat. 5;4;0;78,61;54,6;9,15
4,3;Trat. 5;8;0;78,29;53,03;11,52
4,47;Trat. 5;12;0;78;57,29;2,33
